paper_id	doi	arxiv_id	year	title	venue	domain	user_group	task	model	data_modality	explanation_techniques	interaction_design	evaluation_design	n_participants	participant_type	metrics_trust	metrics_reliance	metrics_understanding	metrics_performance
doi:10.7150/ijms.111780	10.7150/ijms.111780		2025	Large Language Models in Medicine: Applications, Challenges, and Future Directions	[llm_xai] International Journal of Medical Sciences	LLMs in medicine (review)		Review medical LLM applications, challenges (hallucinations, black-box, benchmarks, ethics), and future directions.	GPT-4/ChatGPT and other medical LLMs (discussion)	text (clinical notes etc.) (discussion)	Discusses black-box nature and interpretability challenges (high-level; not methods)		Narrative review; no participants.						
doi:10.1057/s41599-025-04633-1	10.1057/s41599-025-04633-1		2025	Interpreting text corpora from androids-related stories using large language models: “Machines like me” by Ian McEwan in generative AI	[llm_xai] Humanities and Social Sciences Communications	LLM interpretability; chatbot evaluation; literary text analysis; hallucinations/world understanding		Evaluate LLM chatbot interpreting a novel via prompts; assess accuracy, world understanding, and consistency; compare private chatbot vs ChatGPT-4.	OpenAI API-based chatbot (LangChain; in-context learning) + ChatGPT-4 comparison	text (novel corpus + prompts)	n/a (evaluation of responses; not an explainability method)		Prompt-based qualitative evaluation of chatbot answers; consistency checks; comparison vs ChatGPT-4.						
doi:10.1609/aaai.v39i9.33073	10.1609/aaai.v39i9.33073		2025	Interpretable Face Anti-Spoofing: Enhancing Generalization with Multimodal Large Language Models	[llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	multimodal LLMs; interpretable security biometrics; VQA-based explanations		Reformulate face anti-spoofing as interpretable VQA with natural-language interpretations; improve cross-domain generalization.	MLLM framework for FAS (I-FAS); captioning + connector modules	face images/video frames (FAS) + captions (text)	spoof-aware captioning for interpretations; VQA-style explanations		Benchmarks across multiple FAS datasets incl. One-to-Eleven cross-domain setup; compares generalization/AUC.						
doi:10.1609/aaai.v39i8.32908	10.1609/aaai.v39i8.32908		2025	ICM-Assistant: Instruction-tuning Multimodal Large Language Models for Rule-based Explainable Image Content Moderation	[llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	explainable multimodal moderation; rule-based explanations; instruction-tuned MLLMs		Rule-based explainable image content moderation with MLLMs; align outputs with specific rules and provide explanations.	ICM-Assistant (instruction-tuned multimodal LLM)	images + text rules/prompts	rule-grounded natural-language explanations; instruction tuning for explainable decisions		Benchmarks vs traditional ICM classifiers and baseline MLLMs; examines rule consistency and explainability.						
doi:10.1038/s42004-024-01393-y	10.1038/s42004-024-01393-y		2025	Human interpretable structure-property relationships in chemistry using explainable machine learning and large language models	[llm_xai] Communications Chemistry	XAI + LLMs; scientific explanations; chemistry structure–property relationships		Generate accessible natural-language explanations of structure–property relationships by combining XAI outputs with LLM literature access.	XpertAI framework (XAI tools + LLM)	chemical data (structures/properties) + literature text	XAI feature/structure attributions + LLM natural-language explanation generation		Five case studies; qualitative/quantitative assessment of explanation specificity and interpretability.						
doi:10.1609/aaai.v39i16.33843	10.1609/aaai.v39i16.33843		2025	Extracting Interpretable Task-Specific Circuits from Large Language Models for Faster Inference	[llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	mechanistic interpretability; task circuits; model compression via interpretability		Extract interpretable task-specific circuits from LLMs for faster inference; identify minimal components for a task.	Circuit extraction pipeline for LLMs (MI-inspired)	model internals/weights; task datasets (various)	mechanistic interpretability circuits; causal interventions (as background) + automated circuit extraction		Evaluation across tasks/models; compares performance/speed of extracted circuits vs full model.						
doi:10.18608/jla.2025.8885	10.18608/jla.2025.8885		2025	Exploring Fairness and Explainability in LLM-Generated Support for Online Learning Discussion Forums	[llm_xai] Journal of Learning Analytics	fairness + explainability metrics for LLM-generated educational support		Assess and mitigate sentiment bias in LLM-generated forum replies; propose ADSD fairness metric; use TIGERSCORE explainability metric.	GPT-2, Gemma, LLaMA fine-tuned (factual + counterfactual)	text (MOOC posts and replies)	TIGERSCORE (reference-free explainability metric); counterfactual fine-tuning for bias mitigation		Compare generated vs human responses; quantify sentiment bias across gender; evaluate quality with TIGERSCORE.						
doi:10.1038/s44401-025-00015-6	10.1038/s44401-025-00015-6		2025	Explainable differential diagnosis with dual-inference large language models	[llm_xai] npj Health Systems	clinical LLM explanations; differential diagnosis explanations; datasets + prompting frameworks		Generate and evaluate high-quality differential diagnosis (DDx) explanations; introduce Open-XDDx dataset and Dual-Inf framework.	Dual-Inf framework; evaluates GPT-4/GPT-4o/Llama3-70B/BioLlama3-70B; uses GPT-4o as evaluator for consistency	clinical notes (text); DDx labels + expert explanations	chain-of-thought style prompting variants; Dual-inference prompting; DDx explanation evaluation metrics		Automatic + human assessments; dataset of 570 notes with expert explanations; compares prompting methods and models.						
doi:10.1038/s41598-025-25406-5	10.1038/s41598-025-25406-5		2025	Explainable AI with fine-tuned large language models for sustainable cultural heritage management	[llm_xai] Scientific Reports	fine-tuned LLMs + XAI for sentiment analysis; cultural heritage management		Aspect Sentiment Quadruple Prediction for public perception of heritage site; fine-tune Qwen-14B (LoRA) and use SHAP for explanation.	Qwen-14B fine-tuned via LoRA + ASQP pipeline (BERT+BiLSTM+attention+CNN+CRF)	social media text (Weibo/Dianping/Xiaohongshu) + sentiment labels	SHAP; aspect-based sentiment quadruples; fine-tuned LLM for data augmentation		Comparative experiments vs baseline; reports F1/precision improvements; applies to 2018–2024 social media.						
doi:10.52783/jisem.v10i16s.2648	10.52783/jisem.v10i16s.2648		2025	Explainability and Interpretability of Large Language Models in Critical Applications	[llm_xai] Journal of Information Systems Engineering & Management	LLM explainability/interpretability in critical applications (healthcare/finance/autonomous systems)		Discuss XAI/interpretability needs for LLMs in high-stakes domains; proposes multi-layer framework and discusses trade-offs.	LLMs (general; discussion)	n/a (position/review)	post-hoc and inherent explainability; causal attribution; attention mechanisms; regulatory compliance (high-level)		Mixed: review + claimed empirical evaluation of methodologies (details likely limited).						
doi:10.1038/s41746-025-01684-1	10.1038/s41746-025-01684-1		2025	Evaluating large language model workflows in clinical decision support for triage and referral and diagnosis	[llm_xai] npj Digital Medicine	clinical decision support; LLM workflow evaluation; RAG; triage/referral/diagnosis		Benchmark multiple LLM versions and an LLM+RAG workflow on 2000 MIMIC-derived cases for triage/referral and diagnosis.	Multiple LLM versions + RAG workflow	clinical cases (text) from MIMIC-IV derived modules	n/a (workflow evaluation; explanations not primary, but may include personalized insights)		Benchmark study; curated dataset; compares models/workflows on clinical tasks.						
doi:10.63332/joph.v5i4.1089	10.63332/joph.v5i4.1089		2025	Ethical Alignment in Large Language Models: Interpreting Moral Reasoning in Transformer-Based AI Systems	[llm_xai] Journal of Posthumanism	ethical alignment; interpretability of moral reasoning in LLMs		Discuss interpretability of moral reasoning and value alignment in transformer LLMs; reviews methods and risks; provides recommendations.	LLMs (general; discussion)	n/a (conceptual/review)	value alignment frameworks; transparency tools; bias/fairness interventions; explainable decision pathways (high-level)		Narrative review with domain case studies (healthcare/justice/mental health).						
doi:10.52783/jisem.v10i33s.5566	10.52783/jisem.v10i33s.5566		2025	Enhancing Explainability in AI Models: A Quantitative Comparison of XAI Techniques for Large Language Models and Healthcare Applications	[llm_xai] Journal of Information Systems Engineering & Management	XAI technique comparison for LLMs in healthcare (SHAP/LIME/attention)		Quantitative comparison of SHAP, LIME, and attention-based mechanisms for explainability in healthcare applications.	LLMs in healthcare (not clearly specified); XAI methods applied/compared	n/a (likely conceptual/benchmark)	SHAP; LIME; attention-based explanations		Claims quantitative evaluation along interpretability, efficiency, fidelity, and clinical relevance.						
doi:10.55248/gengpi.6.0525.1615	10.55248/gengpi.6.0525.1615		2025	Developing Interpretable Large Language Models for High-Stakes Decision-Making in Healthcare: Insights from an XAI Review Perspective	[llm_xai] International Journal of Research Publication and Reviews	interpretable LLMs in healthcare; XAI review perspective		Perspective on interpretability strategies for healthcare LLMs: post-hoc SHAP/LIME, neurosymbolic models, prompting (CoT) and governance.	LLMs (GPT-4/BERT/LLaMA etc.) (discussion)	clinical text/workflows (discussion)	post-hoc explanations (SHAP/LIME); neurosymbolic; structured prompting (CoT); hybrid frameworks		Perspective drawing from prior XAI review; includes anecdotal examples and policy discussion.						
doi:10.1186/s13244-025-02121-3	10.1186/s13244-025-02121-3		2025	Comparative Evaluation of Large Language Models in Explaining Radiology Reports: Expert Assessment of Readability, Understandability, and Communication Features	[llm_xai] Insights into Imaging	LLM explanations for radiology reports; readability/understandability evaluation		Compare ChatGPT (GPT-3.5), Gemini, Copilot on explaining radiology reports; expert-assessed correctness, PEMAT, readability, and communication features.	ChatGPT (GPT-3.5), Gemini, Copilot	radiology report text	LLM-generated natural-language explanations of reports; evaluation of uncertainty language/guidance/suggestions		Retrospective single-center; 100 reports; expert review; multiple readability and communication metrics.						
doi:10.1609/aaai.v39i11.33329	10.1609/aaai.v39i11.33329		2025	Coherency Improved Explainable Recommendation via Large Language Model	[llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	explainable recommendation; coherence between predictions and explanations		Improve coherence between rating prediction and generated explanations using LLM to generate rating then explanation conditioned on rating vector.	LLM fine-tuned with LoRA + sentiment model for automatic coherence evaluation	user-item reviews/ratings text	LLM-generated natural-language explanations conditioned on predicted rating; automatic coherence evaluation		Experiments on three datasets; compares against prior explainable recommender baselines; uses automatic evaluation.						
doi:10.1038/s41467-025-67084-x	10.1038/s41467-025-67084-x		2025	CASSIA: a multi-agent large language model for automated and interpretable cell annotation	[llm_xai] Nature Communications	LLMs for interpretable bioinformatics; multi-agent LLM for cell type annotation		Automated and interpretable cell annotation for scRNA-seq via multi-agent LLM system; reduce manual input and improve interpretability.	CASSIA multi-agent LLM	single-cell RNA-seq gene expression matrices + marker gene knowledge (likely)	multi-agent reasoning/interpretation; interpretable outputs for annotation decisions (details TBD)		Compares against existing cell annotation methods; focuses on consistency and interpretability (full details later in paper).						
doi:10.1609/aaai.v39i14.33637	10.1609/aaai.v39i14.33637		2025	Argumentative Large Language Models for Explainable and Contestable Claim Verification	[llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	argumentation + LLMs; explainable and contestable decision-making; claim verification		Augment LLMs with formal argumentation frameworks to support explainable/contestable claim verification decisions.	ArgLLMs (LLM + argumentative reasoning); constructs argumentation frameworks for formal reasoning	text claims + evidence	formal argumentation frameworks; contestable explanations; properties for contestability		Experimental comparison vs prompting and chain-of-thought baselines on claim verification datasets; formal assessment of contestability properties.						
doi:10.3389/frai.2025.1609097	10.3389/frai.2025.1609097		2025	An overview of model uncertainty and variability in LLM-based sentiment analysis: challenges, mitigation strategies, and the role of explainability	[llm_xai] Frontiers in Artificial Intelligence	uncertainty/variability in LLM sentiment analysis; explainability role (review)		Review challenges and mitigation strategies for model uncertainty and variability in LLM-based sentiment analysis; discuss explainability.	LLMs for sentiment analysis (prompt-based)	text sentiment tasks	explainability as tool for reliability/reproducibility; uncertainty estimation strategies (surveyed)		Review article; synthesizes literature and proposes mitigation strategies.						
doi:10.1186/s13321-025-00979-5	10.1186/s13321-025-00979-5		2025	An interpretable deep geometric learning model to predict the effects of mutations on protein–protein interactions using large-scale protein language model	[llm_xai] Journal of Cheminformatics	protein language models; interpretable deep learning for mutation effects on PPIs		Predict binding affinity changes from mutations in protein–protein complexes using transformer-based GNN + protein language model features.	graph transformer + large-scale protein language model features	3D protein complex structures + sequence embeddings	"""interpretable"" geometric model (architecture-level); feature fusion (no explicit explanation method described in abstract)"		Benchmark across five datasets (single/multiple mutants); reports RMSE and Pearson correlation.						
doi:10.70777/si.v2i3.15161	10.70777/si.v2i3.15161		2025	AI Agents vs. Agentic AI: A Conceptual Taxonomy, Applications and Challenges	[llm_xai] SuperIntelligence - Robotics - Safety & Alignment	AI agents vs agentic AI; taxonomy; governance/safety (review)		Conceptual taxonomy distinguishing AI Agents vs Agentic AI; applications and challenges (incl. multi-agent systems, autonomy, memory).	LLM-enabled agents/agentic systems (discussion)	n/a (review)	n/a (not explainability-focused)		Review/taxonomy paper; no empirical evaluation.						
doi:10.1186/s40537-025-01093-x	10.1186/s40537-025-01093-x		2025	A reasoning based explainable multimodal fake news detection for low resource language using large language models and transformers	[llm_xai] Journal Of Big Data	explainable multimodal fake news detection; low-resource languages; reasoning with LLMs		Develop reasoning-based explainable multimodal fake news detection system for low-resource language using LLMs and transformers.	multimodal LLM + transformers (details in paper)	multimodal news (text+images/audio/video)	context + reasoning + explanations beyond label; justification generation		Model development + evaluation on datasets (details later); focuses on explainability for end users.						
doi:10.2478/jaiscr-2025-0007	10.2478/jaiscr-2025-0007		2025	A Comprehensive Survey of Retrieval-Augmented Large Language Models for Decision Making in Agriculture: Unsolved Problems and Research Opportunities	[llm_xai] Journal of Artificial Intelligence and Soft Computing Research	retrieval-augmented LLMs; decision making in agriculture (survey)		Survey retrieval-augmented LLM approaches for decision support in agricultural monitoring; identify unsolved problems and research opportunities.	RAG-LLM systems (survey)	agriculture monitoring data + retrieved documents (discussion)	RAG as transparency/traceability mechanism (implicit); not focused on explanation metrics		Survey; compiles literature and open problems.						
doi:10.1186/s40537-024-00928-3	10.1186/s40537-024-00928-3		2024	Xai-driven knowledge distillation of large language models for efficient deployment on low-resource devices	[llm_xai] Journal Of Big Data	XAI-driven knowledge distillation for LLMs; self-explainable student models		Distill LLM teacher into lightweight student using local explanations to guide cross-architecture distillation (DiXtill).	DiXtill: teacher LLM -> bi-directional LSTM student guided by XAI local explanations	text tasks (LLM outputs)	local explanations used as distillation targets; explanation consistency transfer		Reports student achieves comparable performance with reduced compute; evaluates explanation transfer (details later).						
doi:10.3389/frai.2024.1341697	10.3389/frai.2024.1341697		2024	The perils and promises of fact-checking with large language models	[llm_xai] Frontiers in Artificial Intelligence	LLMs for fact-checking; limits and risks (review/original research)		Analyze capacities and limitations of LLMs in automated fact-checking; perils/promises.	LLMs (e.g., GPT-4 mentioned) used for fact-checking	claims + retrieved evidence	n/a (focus on evaluation/limitations; may discuss verification and output justification)		Frontiers original research; discusses historical fact-checking and evaluates LLM fact-checking (details later).						
doi:10.1038/s44271-023-00045-6	10.1038/s44271-023-00045-6		2024	The Russian war in Ukraine increased Ukrainian language use on social media	[llm_xai] Communications Psychology	sociolinguistics; social media behavior; language choice under conflict		Analyze shift in Ukrainian vs Russian language use on Twitter before/after invasion using statistical models.	statistical models (not LLM)	social media text (geo-tagged tweets)			Observational study; large dataset of tweets; disentangles sampling vs behavioral effects.						
doi:10.1038/s41562-024-01882-z	10.1038/s41562-024-01882-z		2024	Testing theory of mind in large language models and humans	[llm_xai] Nature Human Behaviour	LLM cognitive evaluation; theory of mind benchmarking		Compare humans vs LLMs (GPT, LLaMA2) on theory-of-mind battery (false belief, implicature, irony, faux pas).	GPT family (incl GPT-4), LLaMA2 family	text prompts/tasks	n/a (capability evaluation)		Large human study (n=1,907) + repeated LLM testing; novel items to avoid memorization; OSF resources.						
doi:10.1609/icwsm.v18i1.31360	10.1609/icwsm.v18i1.31360		2024	Stance Detection with Collaborative Role-Infused LLM-Based Agents	[llm_xai] Proceedings of the International AAAI Conference on Web and Social Media	LLM agents for text classification; stance detection; role-based multi-agent prompting		Stance detection using collaborative role-infused LLM-based agents (analyst/debater/summarizer style).	COLA framework (role-infused LLM agents)	social media text	multi-agent deliberation (implicit explanations via roles); not a formal XAI method		Experiments vs baselines; addresses multi-aspect knowledge and implicit stance reasoning.						
doi:10.1609/aaai.v38i19.30160	10.1609/aaai.v38i19.30160		2024	Sparsity-Guided Holistic Explanation for LLMs with Interpretable Inference-Time Intervention	[llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	mechanistic/structured explanation for LLMs; inference-time interventions		Sparsity-guided holistic explanation (input/subnetwork/concept) with interpretable inference-time intervention (SparseCBM).	SparseCBM framework (concept bottleneck + sparsity + intervention)	text tasks	concept-based explanations; subnetwork extraction; inference-time intervention for interpretability		Benchmarks on tasks (sentiment etc.); evaluates interpretability-utility tradeoffs.						
doi:10.5204/lthj.3483	10.5204/lthj.3483		2024	Prompts and Large Language Models: A New Tool for Drafting, Reviewing and Interpreting Contracts?	[llm_xai] Law Technology and Humans	LLMs in law; prompts as legal artifacts; contract drafting/review/interpretation		Analyze legal status of prompts used to generate contract clauses and potential use to interpret ambiguous terms (parol evidence rule).	LLM prompting (general; discussion)	legal text/contracts	n/a (legal analysis; not technical XAI)		Doctrinal/legal analysis with scenarios.						
doi:10.14569/ijacsa.2024.0150168	10.14569/ijacsa.2024.0150168		2024	Practical Application of AI and Large Language Models in Software Engineering Education	[llm_xai] International Journal of Advanced Computer Science and Applications	LLMs in software engineering education; practical pedagogy		Describe using ChatGPT/Stable Diffusion in workshops for SE students; curriculum integration.	ChatGPT; Stable Diffusion; LLM-powered tools	text + images (educational materials)			Educational practice report; workshop design (no controlled eval apparent).						
doi:10.1148/ryai.230364	10.1148/ryai.230364		2024	Performance of an Open-Source Large Language Model in Extracting Information from Free-Text Radiology Reports	[llm_xai] Radiology Artificial Intelligence	clinical NLP; LLM information extraction; radiology reports		Evaluate open-source LLM (Vicuna) for info extraction and classification tasks on emergency brain MRI reports.	Vicuna (open-source LLM)	free-text radiology reports	n/a (performance evaluation; causal inference task included but not explanations)		Retrospective; 595 headache MRI reports; radiologist consensus as reference; sensitivity/specificity metrics.						
doi:10.1609/aaai.v38i5.28308	10.1609/aaai.v38i5.28308		2024	PathAsst: A Generative Foundation AI Assistant towards Artificial General Intelligence of Pathology	[llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	multimodal LLM assistant in pathology; datasets/toolkits		Build PathAsst multimodal generative foundation assistant for pathology; create PathCap dataset and toolkit.	PathAsst (MLLM for pathology) + PathCap dataset	pathology images + captions	n/a (assistant tool; may include interpretability via captions)		Dataset+model contribution; experiments on pathology tasks (details in paper).						
doi:10.54254/2755-2721/67/2024ma0060	10.54254/2755-2721/67/2024ma0060		2024	Optimization techniques for sentiment analysis based on LLM (GPT-3)	[llm_xai] Applied and Computational Engineering	LLMs for sentiment analysis; fine-tuning GPT-3 (tutorial-like)		Explore sentiment analysis optimization using GPT-3 and fine-tuning; reports fine-tuning improves sentiment performance.	GPT-3 + fine-tuning	text			Small experimental report; limited details.						
doi:10.1038/s41598-024-82111-5	10.1038/s41598-024-82111-5		2024	Novel approach for Arabic fake news classification using embedding from large language features with CNN-LSTM ensemble model and explainable AI	[llm_xai] Scientific Reports	multimodal fake news detection; Arabic; explainable AI		Arabic fake news classification using contextual embeddings (ELMo/BERT/etc.) with CNN/LSTM ensemble; includes XAI (LIME) for interpretability.	CNN-LSTM voting ensemble; EfficientNetB4/Inception/Xception/ResNet/ConvLSTM baselines; embeddings incl. ELMo, GloVe, BERT	text (Arabic news); embeddings	LIME (XAI) for interpreting predictions		Text classification experiments with 5-fold cross-validation; compares embeddings and models; reports accuracy/precision/recall/F1 and inference time.						
doi:10.2196/54607	10.2196/54607		2024	Multimodal ChatGPT-4V for Electrocardiogram Interpretation: Promise and Limitations	[llm_xai] Journal of Medical Internet Research	clinical multimodal LLM evaluation; ECG interpretation		Evaluate ChatGPT-4V interpreting ECG waveforms and answering MCQs; assess accuracy and limitations.	ChatGPT-4V	ECG images + question text	n/a (capability evaluation; may include error analysis)		62 exam-style ECG questions; accuracy with 1-of-3 responses correct criterion.						
doi:10.3389/fmed.2024.1477898	10.3389/fmed.2024.1477898		2024	Large language models in patient education: a scoping review of applications in medicine	[llm_xai] Frontiers in Medicine	LLMs in patient education (scoping mini-review)		Scoping review of LLM applications for patient education and engagement; benefits and challenges (readability, accuracy, bias).	GPT-4o, Claude 3.5 Sonnet, Gemini (mentioned), others	patient education text	LLM translation of medical info into patient-friendly language (explanatory communication)		Scoping review; synthesizes studies						
doi:10.3389/frai.2024.1460364	10.3389/frai.2024.1460364		2024	Large language models for whole-learner support: opportunities and challenges	[llm_xai] Frontiers in Artificial Intelligence	LLMs for whole-learner support (education) (perspective)		Discuss opportunities/challenges for LLM-based educational agents accounting for socioemotional and non-cognitive needs; interpretability mentioned.	LLM educational agents (discussion; e.g., Khanmigo)	educational interactions (text)	interpretability as requirement for educational agents (high-level)		Perspective/position.						
doi:10.1609/aaai.v38i17.29887	10.1609/aaai.v38i17.29887		2024	LLMRG: Improving Recommendations through Large Language Model Reasoning Graphs	[llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	LLM reasoning graphs for recommendation; interpretability via reasoning chains		Construct personalized reasoning graphs linking user profiles and behaviors via causal/logical inferences to improve recommendation and interpretability.	LLMRG (LLM-generated reasoning chains + abductive validation + KB caching)	user behavior sequences + profile features + item metadata	LLM-generated reasoning graphs/chains (interpretable causal/logical links); abductive scoring/validation		Offline recommendation experiments; compares performance without extra user/item data; validates reasoning chains.						
doi:10.1609/aies.v7i1.31758	10.1609/aies.v7i1.31758		2024	LLM Voting: Human Choices and AI Collective Decision-Making	[llm_xai] Proceedings of the AAAI/ACM Conference on AI Ethics and Society	LLM agents voting; explainability in collective decision-making		Study LLM voting behavior (GPT-4, LLaMA-2) vs human voting dataset; examine biases and alignment; CoT as potential explainability.	GPT-4; LLaMA-2 as voting agents	voting preference tasks (text prompts)	chain-of-thought as potential explanation; persona variation to reduce biases		Experimental study using human voting experiment dataset; compares LLM agents with human baseline.						
doi:10.1109/tvcg.2024.3368060	10.1109/tvcg.2024.3368060		2024	LEVA: Using Large Language Models to Enhance Visual Analytics	[llm_xai] IEEE Transactions on Visualization and Computer Graphics	LLMs for visual analytics workflows; explanation/summarization support		LEVA framework: use LLMs to support onboarding, exploration (insight recommendation), and summarization/reporting in VA systems.	LLMs integrated into VA system	visualizations + system specs/status + data	LLM-generated explanations of visualization designs/relationships; insight suggestions; report generation		"System integration + user studies (mentioned as ""Two usa...""; details later)"						
