paper_id	year	title	in_scope	secondary	C_tags
doi:10.3389/frai.2024.1406773	2024	Accelerating human–computer interaction through convergent conditions for LLM explanation	yes	yes	C2,C6
doi:10.1038/s41746-023-00957-x	2023	Zero-shot interpretable phenotyping of postpartum hemorrhage using large language models	yes	no	C3
doi:10.5964/bioling.13153	2023	Why large language models are poor theories of human linguistic cognition: A reply to Piantadosi	no	yes	C2
doi:10.7759/cureus.43262	2023	Unraveling the Ethical Enigma: Artificial Intelligence in Healthcare	yes	yes	C2,C3
doi:10.7759/cureus.36272	2023	The Capability of ChatGPT in Predicting and Explaining Common Drug-Drug Interactions	yes	no	C3,C5
doi:10.1609/aiide.v19i1.27504	2023	SceneCraft: Automating Interactive Narrative Scene Generation in Digital Games with Large Language Models	no	yes	C3
doi:10.4204/eptcs.385.27	2023	Reliable Natural Language Understanding with Large Language Models and Answer Set Programming	yes	no	C2
doi:10.3389/frobt.2023.1271610	2023	Real-time emotion generation in human-robot dialogue using large language models	no	yes	C5,C6
doi:10.2519/jospt.2023.12000	2023	Pros and Cons of Using Artificial Intelligence Chatbots for Musculoskeletal Rehabilitation Management	no	yes	C2,C3
doi:10.1371/journal.pdig.0000198	2023	Performance of ChatGPT on USMLE: Potential for AI-assisted medical education using large language models	yes	no	C2
doi:10.1038/s42256-023-00626-4	2023	Parameter-efficient fine-tuning of large-scale pre-trained language models	no	yes	C2
doi:10.1038/s41598-023-32248-6	2023	Overlap in meaning is a stronger predictor of semantic activation in GPT-3 than in humans	yes	no	C2
doi:10.1038/s41586-023-06924-6	2023	Mathematical discoveries from program search with large language models	yes	yes	C1,C2,C3
doi:10.1038/s41586-023-06291-2	2023	Large language models encode clinical knowledge	yes	yes	C3
doi:10.2196/49324	2023	Large Language Models for Therapy Recommendations Across 3 Clinical Specialties: Comparative Study	yes	no	C2,C3
doi:10.3389/feduc.2023.1272229	2023	Is GPT-4 a reliable rater? Evaluating consistency in GPT-4's text ratings	yes	no	C1,C4
doi:10.2196/45312	2023	How Does ChatGPT Perform on the United States Medical Licensing Examination (USMLE)? The Implications of Large Language Models for Medical Education and Knowledge Assessment	yes	no	C1,C3
doi:10.1007/s40593-023-00340-7	2023	GPT-3-Driven Pedagogical Agents to Train Children’s Curious Question-Asking Skills	no	yes	C2
doi:10.1186/s40561-023-00273-7	2023	Exploring the potential of using ChatGPT in physics education	no	yes	C2
doi:10.1609/aaai.v37i13.27014	2023	Explaining Large Language Model-Based Neural Semantic Parsers (Student Abstract)	yes	no	C1,C3,C6
doi:10.3389/fonc.2023.1219326	2023	Evaluating large language models on a highly-specialized topic, radiation oncology physics	yes	no	C1,C3,C4
doi:10.37547/tajet/volume05issue12-13	2023	Ethical Considerations of LLM-Driven Quantum Code Generation for Optimization Tasks	no	no	C2
doi:10.2196/54369	2023	Capacity of Generative AI to Interpret Human Emotions From Visual and Textual Data: Pilot Evaluation Study	no	no	C2
doi:10.1038/s41586-023-06792-0	2023	Autonomous chemical research with large language models	no	no	C2,C4,C5
doi:10.2196/48996	2023	Automated Paper Screening for Clinical Reviews Using Large Language Models: Data Analysis Study	yes	yes	C2,C6
doi:10.1038/s41467-023-43713-1	2023	Augmenting interpretable models with large language models during training	yes	no	C2
doi:10.2196/48254	2023	Assessing Health Students' Attitudes and Usage of ChatGPT in Jordan: Validation Study	no	yes	C2
doi:10.1038/s41586-023-06734-w	2023	An autonomous laboratory for the accelerated synthesis of inorganic materials	no	yes	C2
doi:10.18653/v1/2022.acl-long.247	2022	Upstream Mitigation Is Not All You Need: Testing the Bias Transfer Hypothesis in Pre-Trained Language Models	maybe	no	C6
doi:10.18653/v1/2022.acl-long.346	2022	SPoT: Better Frozen Model Adaptation through Soft Prompt Transfer	no	no	C6
doi:10.1016/j.artint.2022.103822	2022	Logic Explained Networks	no	yes	C2
doi:10.1038/s41467-022-28595-z	2022	General statistical model shows that macroevolutionary patterns and processes are consistent with Darwinian gradualism	no	no	C2
doi:10.1038/s41746-022-00742-2	2022	A large language model for electronic health records	yes	no	C2
doi:10.1038/s41467-024-45563-x	2024	Structured information extraction from scientific text with large language models	maybe	no	
doi:10.1007/s10458-024-09663-8	2024	From large language models to small logic programs: building global explanations from disagreeing local post-hoc explainers	yes	no	C2
doi:10.1609/aaai.v39i24.34757	2025	ReFF: Reinforcing Format Faithfulness in Language Models Across Varied Tasks	yes	no	C1
doi:10.2196/53008	2024	Generative AI in Medical Practice: In-Depth Exploration of Privacy and Security Challenges	maybe	no	
doi:10.18559/ebr.2023.2.743	2023	Challenges for higher education in the era of widespread access to generative AI	maybe	no	
doi:10.1007/s40547-024-00143-4	2024	Sentiment Analysis in the Age of Generative AI	maybe	no	
doi:10.1186/s12911-024-02459-6	2024	Assessing the research landscape and clinical utility of large language models: a scoping review	maybe	yes	C2
doi:10.1038/s42256-023-00692-8	2023	Explaining machine learning models with interactive natural language conversations using TalkToModel	yes	no	C2
doi:10.1038/s41746-025-01670-7	2025	A framework to assess clinical safety and hallucination rates of LLMs for medical text summarisation	maybe	no	
doi:10.1609/aaai.v38i16.29770	2024	Mitigating Large Language Model Hallucinations via Autonomous Knowledge Graph-Based Retrofitting	yes	no	C2
doi:10.1007/s41019-023-00235-6	2024	DB-GPT: Large Language Model Meets Database	maybe	no	
doi:10.1038/s43246-024-00449-9	2024	Accelerating materials language processing with large language models	maybe	no	
doi:10.1038/s41746-024-01190-w	2024	Orchestrating explainable artificial intelligence for multimodal and longitudinal data in medical imaging	yes	no	C2
doi:10.1613/jair.1.15348	2024	Human-in-the-Loop Reinforcement Learning: A Survey and Position on Requirements, Challenges, and Opportunities	maybe	yes	
doi:10.62411/jcta.9447	2024	A Comparative Analysis of Generative Artificial Intelligence Tools for Natural Language Processing	maybe	no	
doi:10.18653/v1/2022.naacl-main.47	2022	Reframing Human-AI Collaboration for Generating Free-Text Explanations	yes	no	C6
doi:10.1007/s44230-023-00038-y	2023	Survey on Explainable AI: From Approaches, Limitations and Applications Aspects	yes	yes	C2
doi:10.1007/s41669-024-00477-8	2024	Artificial Intelligence to Automate Health Economic Modelling: A Case Study to Evaluate the Potential Application of Large Language Models	maybe	no	
doi:10.1371/journal.pone.0298522	2024	Large language models are able to downplay their cognitive abilities to fit the persona they simulate	maybe	no	
doi:10.1186/s40561-024-00354-1	2024	Harnessing large language models to develop research-based learning assistants for formative feedback	maybe	no	
doi:10.1609/aaai.v38i17.29863	2024	RewriteLM: An Instruction-Tuned Large Language Model for Text Rewriting	maybe	no	
doi:10.1609/aaai.v38i19.30178	2024	Efficient Toxic Content Detection by Bootstrapping and Distilling Large Language Models	maybe	no	
doi:10.3389/fmed.2024.1512329	2025	Research on a traditional Chinese medicine case-based question-answering system integrating large language models and knowledge graphs	yes	no	C2
doi:10.51219/jaimld/oluwole-fagbohun/15	2023	An Empirical Categorization of Prompting Techniques for Large Language Models: A Practitioner’s Guide	maybe	no	
doi:10.1007/s12599-025-00945-3	2025	Retrieval-Augmented Generation (RAG)	maybe	no	
doi:10.1038/s41598-024-56648-4	2024	STELA: a community-centred approach to norm elicitation for AI alignment	maybe	no	
doi:10.1371/journal.pone.0300024	2024	Framework-based qualitative analysis of free responses of Large Language Models: Algorithmic fidelity	yes	no	C1
doi:10.1038/s44387-025-00019-5	2025	Exploring the role of large language models in the scientific method: from hypothesis to discovery	maybe	no	
doi:10.3389/frai.2024.1464690	2025	Fostering effective hybrid human-LLM reasoning and decision making	maybe	no	
doi:10.1057/s41599-023-02119-6	2023	ChatGPT as a COBUILD lexicographer	maybe	no	
doi:10.1613/jair.1.16665	2025	Detecting AI-Generated Text: Factors Influencing Detectability with Current Methods	maybe	no	
doi:10.1371/journal.pdig.0000685	2024	Evaluating Large Language Models in extracting cognitive exam dates and scores	maybe	no	
doi:10.1609/aaai.v38i17.29839	2024	STAR: Boosting Low-Resource Information Extraction by Structure-to-Text Data Generation with Large Language Models	maybe	no	
doi:10.1613/jair.1.15407	2024	Computational Argumentation-based Chatbots: A Survey	maybe	yes	C6
doi:10.1007/s10462-024-11078-6	2025	Digital forgetting in large language models: a survey of unlearning methods	maybe	yes	
doi:10.1609/aaai.v38i20.30280	2024	Making Natural Language Reasoning Explainable and Faithful	yes	no	C2
doi:10.1609/icwsm.v18i1.31437	2024	AiGen-FoodReview: A Multimodal Dataset of Machine-Generated Restaurant Reviews and Images on Social Media	maybe	no	
doi:10.1609/aaai.v38i17.29881	2024	Improving the Robustness of Knowledge-Grounded Dialogue via Contrastive Learning	maybe	no	C4
doi:10.32473/flairs.38.1.138892	2025	Exploring the Potential for Large Language Models to Demonstrate Rational Probabilistic Beliefs	maybe	no	
doi:10.1038/s41598-025-85715-7	2025	A scientific-article key-insight extraction system based on multi-actor of fine-tuned open-source large language models	maybe	no	
doi:10.47941/ijf.1646	2024	Integrating Algorithmic Decision Making into Small Business Credit Initiatives: a path to Enhanced Efficiency and Inclusive Economic Growth	maybe	no	
doi:10.55041/ijsrem53123	2025	Explainable GENAI Techniques to Interpret and Visualize LLM Reasoning	yes	no	C2
doi:10.3389/fpsyg.2024.1382234	2024	Suggestive answers strategy in human-chatbot interaction: a route to engaged critical decision making	maybe	no	
doi:10.62019/x6sz1d43	2025	An Enhanced Textual Review Classification and Sentiment Analysis Approach based on Machine Learning: A Comprehensive Analysis for Text Categorization Approaches	maybe	no	
doi:10.1007/s11831-022-09836-2	2023	A Review of Image-Based Simulation Applications in High-Value Manufacturing	maybe	no	C6
doi:10.1609/aaai.v38i17.29859	2024	OntoFact: Unveiling Fantastic Fact-Skeleton of LLMs via Ontology-Driven Reinforcement Learning	maybe	no	
doi:10.1007/s10994-025-06852-8	2025	Toward practical human-interpretable explanations	yes	no	C2
doi:10.1007/s11704-024-40231-1	2024	A survey on large language model based autonomous agents	maybe	yes	
doi:10.1007/s11846-023-00696-z	2023	The GenAI is out of the bottle: generative artificial intelligence from a business model innovation perspective	maybe	yes	
doi:10.1039/d3dd00113j	2023	14 examples of how LLMs can transform materials science and chemistry: a reflection on a large language model hackathon	maybe	no	
doi:10.1007/s12525-023-00680-1	2023	Generative artificial intelligence	maybe	no	
doi:10.3389/frai.2023.1237704	2023	Overview of Chatbots with special emphasis on artificial intelligence-enabled ChatGPT in medical science	maybe	no	
doi:10.1609/aaai.v38i8.28678	2024	Enhancing Job Recommendation through LLM-Based Generative Adversarial Networks	maybe	no	
doi:10.1007/s00146-023-01710-4	2023	ChatGPT: deconstructing the debate and moving it forward	maybe	no	
doi:10.1613/jair.1.14649	2023	How to DP-fy ML: A Practical Guide to Machine Learning with Differential Privacy	maybe	no	
doi:10.1145/3643834.3661588	2024	DesignPrompt: Using Multimodal Interaction for Design Exploration with Generative AI	maybe	no	
doi:10.1007/s44267-024-00065-8	2024	An overview of large AI models and their applications	maybe	no	
doi:10.1007/s10639-023-12405-0	2024	How should we change teaching and assessment in response to increasingly powerful generative Artificial Intelligence? Outcomes of the ChatGPT teacher survey	maybe	yes	C5
doi:10.1609/aaai.v38i1.27758	2024	Prompt to Transfer: Sim-to-Real Transfer for Traffic Signal Control with Prompt Learning	maybe	no	
doi:10.1007/s10796-023-10400-x	2023	Exploring the Darkverse: A Multi-Perspective Analysis of the Negative Societal Impacts of the Metaverse	maybe	yes	
doi:10.1609/aaai.v38i18.29970	2024	Value Kaleidoscope: Engaging AI with Pluralistic Human Values, Rights, and Duties	maybe	no	
doi:10.1609/aaaiss.v2i1.27698	2024	Psychologically-Valid Generative Agents: A Novel Approach to Agent-Based Modeling in Social Sciences	maybe	no	
doi:10.1186/s12909-024-06592-8	2024	Exploring prospects, hurdles, and road ahead for generative artificial intelligence in orthopedic education and training	maybe	no	
doi:10.3389/frai.2023.1093712	2023	How AI tools can—and cannot—help organizations become more ethical	maybe	no	
doi:10.3389/frai.2025.1616145	2025	Medical reasoning in LLMs: an in-depth analysis of DeepSeek R1	maybe	no	
doi:10.3389/frsus.2023.1210209	2023	Prospects of artificial intelligence in the development of sustainable separation processes	maybe	no	
doi:10.1609/aiide.v19i1.27502	2023	There and Back Again: Extracting Formal Domains for Controllable Neurosymbolic Story Authoring	maybe	no	
doi:10.1038/s41598-025-22784-8	2025	Leveraging ChatGPT and explainable AI for enhancing clinical decision support	yes	no	C2
doi:10.1186/s12911-025-03239-6	2025	A prompt framework for enhancing LLM-based explainability of medical machine learning models: an intensive care unit application	yes	no	C2
doi:10.34028/iajit/21/2/7	2024	Embedding Search for Quranic Texts based on Large Language Models	maybe	no	
doi:10.3389/fnut.2025.1636980	2025	Artificial intelligence in personalized nutrition and food manufacturing: a comprehensive review of methods, applications, and future directions	maybe	no	
doi:10.1007/s00170-025-15830-2	2025	Generative AI meets CAD: enhancing engineering design to manufacturing processes with large language models	maybe	no	
doi:10.37547/tajet/volume06issue07-11	2024	Explainable AI In Software Engineering: Enhancing Developer-AI Collaboration	yes	no	C2
doi:10.55476/001c.91230	2023	Encountering Artificial Intelligence: Ethical and Anthropological Investigations	maybe	no	
doi:10.37074/jalt.2023.6.2.33	2023	Educational futures of intelligent synergies between humans, digital twins, avatars, and robots - the iSTAR framework	maybe	no	
doi:10.1007/s42524-025-4241-9	2025	Generative artificial intelligence in intelligent transportation systems: A systematic review of applications	maybe	yes	
doi:10.1515/mr-2024-0086	2025	The potential of generative AI with prostate-specific membrane antigen (PSMA) PET/CT: challenges and future directions	maybe	no	
doi:10.1038/s41597-025-04417-x	2025	A dataset for evaluating clinical research claims in large language models	maybe	no	
doi:10.3389/fdata.2025.1611389	2025	LLM-as-a-Judge: automated evaluation of search query parsing using large language models	maybe	no	
doi:10.1088/1361-651x/ad4d0d	2024	Roadmap on data-centric materials science	maybe	no	
doi:10.1038/s42004-023-01045-7	2023	Modelling local and general quantum mechanical properties with attention-based pooling	maybe	no	
doi:10.1109/tmc.2025.3564543	2025	Task-Oriented Semantic Communication in Large Multimodal Models-Based Vehicle Networks	maybe	no	
doi:10.1007/s10055-023-00752-9	2023	Intelligence at play: game-based assessment using a virtual-reality application	maybe	no	
doi:10.3389/frai.2025.1590105	2025	Evaluation of large language model-driven AutoML in data and model management from human-centered perspective	maybe	yes	
doi:10.1109/tai.2024.3363686	2024	Explainable Attention Pruning: A Metalearning-Based Approach	yes	no	C2
doi:10.37082/ijirmps.v13.i3.232551	2025	The Contribution of AI in Climate Modeling and Sustainable Decision-Making	maybe	no	
doi:10.1613/jair.1.17970	2025	Viewpoint: The Future of Human-Centric Explainable Artificial Intelligence (XAI) is not Post-Hoc Explanations	yes	yes	C2
doi:10.3389/fcomp.2025.1590632	2025	Practices, opportunities and challenges in the fusion of knowledge graphs and large language models	yes	no	C2
doi:10.3389/frai.2025.1585629	2025	AI generations: from AI 1.0 to AI 4.0	maybe	no	
doi:10.1007/s12599-025-00964-0	2025	Inherently Interpretable Machine Learning: A Contrasting Paradigm to Post-hoc Explainable AI	yes	no	C2
doi:10.1007/s43681-024-00467-w	2024	Beyond phase-in: assessing impacts on disinformation of the EU Digital Services Act	maybe	no	
doi:10.3389/fcomp.2025.1575741	2025	A multimodal symphony: integrating taste and sound through generative AI	maybe	no	
doi:10.5121/ijci.2025.140302	2025	INTEGRATING UNIVERSAL GENERATIVE AI PLATFORMS IN EDUCATIONAL LABS TO FOSTER CRITICAL THINKING AND DIGITAL LITERACY	maybe	no	
doi:10.1609/aaai.v38i16.29788	2024	Towards Equipping Transformer with the Ability of Systematic Compositionality	maybe	no	
doi:10.5334/jime.981	2025	A Metaphor for Rethinking Artificial Intelligence in/and Education	maybe	no	
doi:10.1007/s00146-024-01893-4	2024	Manifestations of xenophobia in AI systems	maybe	no	
doi:10.3389/fpsyg.2025.1574809	2025	Interacting with fallible AI: is distrust helpful when receiving AI misclassifications?	maybe	no	
doi:10.1186/s12909-024-06563-z	2024	An assessment of clinical reception training using standard patient and dental simulator in prosthodontic dentistry for dental undergraduates: a historical control trial	maybe	no	
doi:10.54660/ijaiet.2025.6.1.04-12	2025	Integrating Artificial Intelligence into Higher Education Curricula: Challenges and Opportunities for Science-Based Programs	maybe	no	
doi:10.1609/aaai.v38i8.28764	2024	Deciphering Compatibility Relationships with Textual Descriptions via Extraction and Explanation	yes	no	C2
doi:10.1007/s12599-024-00914-2	2025	Elevating Developers’ Accountability Awareness in AI Systems Development	maybe	no	
doi:10.14296/ac.v4i3.5616	2023	Montesquieu’s Theory of the Separation of Powers, Legislative Flexibility and Judicial Restraint in an Unwritten Constitution	maybe	no	
doi:10.32996/jcsts.2025.7.3.94	2025	Machine Learning and Safety Standards in Autonomous Vehicle Systems: A Technical Overview	maybe	no	
doi:10.3389/ejcmp.2025.13875	2025	Exploring the generative AI potential in the fashion design process: an experimental experience on the collaboration between fashion design practitioners and generative AI tools	maybe	no	
doi:10.1007/s10791-023-09430-5	2023	An in-depth analysis of passage-level label transfer for contextual document ranking	maybe	no	
doi:10.5590/jerap.2025.15.2054	2025	Research Integrity in the Era of Generative Artificial Intelligence	maybe	no	
doi:10.3389/fclim.2025.1585331	2025	Enhancing system resilience to climate change through artificial intelligence: a systematic literature review	maybe	no	
doi:10.1007/s11042-024-18469-5	2024	Exploring biometric domain adaptation in human action recognition models for unconstrained environments	maybe	no	
doi:10.17323/jle.2023.12262	2023	On the Identifiability of Cognitive Diagnostic Models: Diagnosing Students’ Translation Ability	maybe	no	
doi:10.21275/ms2212141805	2022	AI and Machine Learning for Predictive Banking: Infrastructure Challenges and Opportunities	maybe	no	
doi:10.56975/ijnrd.v10i4.305644	2025	Revolutionizing Healthcare: The Role of Artificial Intelligence in Medical Innovation	maybe	no	
doi:10.38124/ijsrmt.v2i5.571	2023	Explainable AI (XAI) for Product Managers: Bridging the Gap between AI Models and Business Needs	yes	no	C2
doi:10.55041/ijsrem48086	2025	Challenges in Standardizing Explainable AI Metrics for Ambiguous Learning Models in Cloud Infrastructure	yes	no	C2
doi:10.22318/cscl2025.323151	2025	Enhancing Team-Based Medical Simulations: Learning Through Reflection with Analytics and AI Tools	maybe	no	
doi:10.4236/ojapps.2025.158158	2025	Challenges and Solutions for Large Language Models in Metaphor Translation of Political Texts	maybe	no	
doi:10.54254/2755-2721/2025.26304	2025	Task Specialization via Generative Behavior Clustering and Reinforced Distillation: Building Lightweight Experts from LLMs	maybe	no	C3,C6
doi:10.34218/ijaret_16_03_005	2025	ARCHITECTING RESPONSIBLE DEVELOPMENT AND DEPLOYMENT OF GENERATIVE AI	maybe	no	
doi:10.5120/ijca2025925477	2025	Assessing LLMs as Cognitive Interpreters of Student Prompts: A Typological Framework	maybe	no	
