paper_id	doi	arxiv_id	year	title	venue	domain	user_group	task	model	data_modality	abstract	explanation_techniques	interaction_design	evaluation_design	n_participants	participant_type	metrics_trust	metrics_reliance	metrics_understanding	metrics_performance	main_findings	conclusions	limitations	pdf_path	notes
doi:10.1038/s41598-025-25406-5	10.1038/s41598-025-25406-5		2025	Explainable AI with fine-tuned large language models for sustainable cultural heritage management	[llm_xai] Scientific Reports	fine-tuned LLMs + XAI for sentiment analysis; cultural heritage management		Aspect Sentiment Quadruple Prediction for public perception of heritage site; fine-tune Qwen-14B (LoRA) and use SHAP for explanation.	Qwen-14B fine-tuned via LoRA + ASQP pipeline (BERT+BiLSTM+attention+CNN+CRF)	social media text (Weibo/Dianping/Xiaohongshu) + sentiment labels	Explainable AI with fine-tuned large language models for sustainable cultural heritage management Kai Zhou1, Wei Chen1, Wenqi Sheng2, Bin Hu1, Yu Yang1, Lili Yang3 & Huipin Lu1 The redevelopment of cultural heritage areas, especially in historical urban environments, requires a nuanced understanding of public perceptions to balance preservation with modernization. This study introduces an advanced AI-driven framework for Aspect Sentiment Quadruple Prediction (ASQP) to assess public perceptions of Lijiang Ancient Town, a UNESCO World Heritage site in China. We fine- tuned the large language model Qwen-14B using LoRA-based methods to augment sentiment data, effectively uncovering implicit emotional cues in social media content. The model integrates BERT, multi-layer BiLSTM, self-attention, CNN, and CRF for enhanced entity recognition and sentiment classification. Experimental results show that the enhanced model (Qwen-14B + ASQP) improved F1- score by 0.97% (from 75.42% to 76.39%) and Precision by 4.48% (from 76.14% to 80.62%) compared to the baseline. Analyzing data from platforms such as Weibo, Dazhong Dianping, and Xiaohongshu (2018–2024), the research uncovers factors influencing public perception, offering insights for heritage site management, urban planning, and the sustainable preservation of cultural heritage.	SHAP; aspect-based sentiment quadruples; fine-tuned LLM for data augmentation		Comparative experiments vs baseline; reports F1/precision improvements; applies to 2018–2024 social media.							LoRA fine-tuned LLM + ASQP improves sentiment extraction; SHAP used to interpret features/aspects.	LLM fine-tuning + XAI supports sustainable heritage management via better sentiment understanding.	Explainability mainly SHAP, not LLM internal; domain-specific; small performance gains.	papers_openalex_llm_xai/unmapped_extras/10.1038_s41598-025-25406-5.pdf	Borderline: LLM used for augmentation/fine-tuning; explainability via SHAP.
doi:10.52783/jisem.v10i16s.2648	10.52783/jisem.v10i16s.2648		2025	Explainability and Interpretability of Large Language Models in Critical Applications	[llm_xai] Journal of Information Systems Engineering & Management	LLM explainability/interpretability in critical applications (healthcare/finance/autonomous systems)		Discuss XAI/interpretability needs for LLMs in high-stakes domains; proposes multi-layer framework and discusses trade-offs.	LLMs (general; discussion)	n/a (position/review)	Received: 05 Dec 2024 LLMs have become central to many high-stakes domains, including medical diagnosis, financial forecasting, and autonomous driving. However, the opaqueness of their decision-making process Revised: 28 Jan 2025 presents significant challenges, especially when deployed in critical applications. This paper Accepted: 06 Feb 2025 investigates the explainability and interpretability of LLMs in high-stakes decision-making contexts. We propose a novel multi-layered framework that enhances interpretability without sacrificing model accuracy. We review viable approaches toward such LLM-based systems as are realized in real time and transparently and credibly for such through an examination of the existing techniques and accompanying domain-specific requirements on interpreting the behavior of. Additionally, we perform empirical research work to evaluate the competitiveness in terms of effectiveness that would be provided by any methodology proposed along with an articulation of a corresponding interpretability-accuracy tradeoff.	post-hoc and inherent explainability; causal attribution; attention mechanisms; regulatory compliance (high-level)		Mixed: review + claimed empirical evaluation of methodologies (details likely limited).							Argues opacity is major barrier; proposes multi-layer framework; emphasizes interpretability–accuracy trade-offs in critical domains.	Calls for explainable, trustworthy LLM systems for compliance and safety in high-stakes settings.	Secondary/position style; methodology and empirical details unclear; may include weak/unsupported claims.	papers_openalex_llm_xai/unmapped_extras/10.52783_jisem.v10i16s.2648.pdf	Secondary literature; keep but verify rigor (JISEM special issue-style).
doi:10.1038/s41746-025-01684-1	10.1038/s41746-025-01684-1		2025	Evaluating large language model workflows in clinical decision support for triage and referral and diagnosis	[llm_xai] npj Digital Medicine	clinical decision support; LLM workflow evaluation; RAG; triage/referral/diagnosis		Benchmark multiple LLM versions and an LLM+RAG workflow on 2000 MIMIC-derived cases for triage/referral and diagnosis.	Multiple LLM versions + RAG workflow	clinical cases (text) from MIMIC-IV derived modules	Accurate medical decision-making is critical for both patients and clinicians. Patients often struggle to interpret their symptoms, determine their severity, and select the right specialist. Simultaneously, 1234567890():,; 1234567890():,; clinicians face challenges in integrating complex patient data to make timely, accurate diagnoses. Recent advances in large language models (LLMs) offer the potential to bridge this gap by supporting decision-making for both patients and healthcare providers. In this study, we benchmark multiple LLM versions and an LLM-based workﬂow incorporating retrieval-augmented generation (RAG) on a curated dataset of 2000 medical cases derived from the Medical Information Mart for Intensive Care database. Our ﬁndings show that these LLMs are capable of providing personalized insights into likely diagnoses, suggesting appropriate specialists, and assessing urgent care needs. These models may also support clinicians in reﬁning diagnoses and decision-making, offering a promising approach to improving patient outcomes and streamlining healthcare delivery. Clinical decision-making is a fundamentally complex process that relies on emerging area of research. Powerful models could increase diagnostic clinicians applying their knowledge and experience1 while considering accuracy, optimize triage processes and improve patient management. For numerous factors and integrating vast amounts of data to assess patient example, LLMs could assist in prioritizing patients based on symptoms and symptoms, determine the severity of their condition, and choose the most vital signs, distinguishing between urgent and non-urgent cases, thereby appropriate next steps. This process typically involves combining infor- reducing waiting times and improving care delivery. This capability is mation from various sources, such as symptoms, vital signs, patient medical especially crucial in emergency departments (EDs), where accurate triage history, and various examinations, to arrive at an accurate and timely (level of severity of a patient’s condition) assessment is vital for patient diagnosis. The ability to correctly interpret this information and make well- prioritization. Errors in this process—whether under-triage (assigning founded decisions is crucial for improving patient outcomes. In a saturated lower urgency than needed) or over-triage (assigning higher urgency)— healthcare system with increasing amounts and complexity of patient data, signiﬁcantly impact patient outcomes and resource allocation. fewer healthcare professionals face the challenge of meeting increasing Trauma systems have set the goal to minimize under triage and accept patient demands for fast, accurate, and personalized care. Especially in high- a higher rate of over triage to reduce mortality rate caused by under triage, pressure environments like emergency departments, the fast pace and with goals set at ≤5% and ≤35%6, respectively. A review of ﬁeld triage complexity of decision-making can contribute to delays or errors in triaging, performance showed 14% to 34% under triaged cases across all ages7, which diagnosis and treatment, ultimately leading to suboptimal care. can result in delayed treatment for patients requiring immediate care, Recent advancements in large language models (LLMs) have demon- potentially worsening their outcomes. On the other hand, over-triage rates strated signiﬁcant potential to transform various ﬁelds, including clinical were shown to be between 12% and 31%7, leading to the waste of critical decision-support2,3. While LLMs have shown promise in structured envir- resources and increased waiting times for other patients. In this context, onments, such as medical licensing exams and clinical vignettes4,5, their LLMs might mitigate both under-triage and over-triage, thereby improving application in real-world, open-ended clinical scenarios remains an resource allocation and overall patient outcomes. 1 Berlin Institute for Medical Systems Biology (BIMSB), Max Delbrück Center for Molecular Medicine, Berlin, Germany. 2Department of Computer Science, Humboldt-Universität zu Berlin, Berlin, Germany. 3Department of Radiation Oncology, Fondazione Policlinico Universitario Agostino Gemelli, Rome, Italy. 4 Department of Obstetrics and Gynecology/Section of Gynecologic Oncology, University of Chicago, Chicago, IL, USA. 5Institute for Diagnostic and Interventional Radiology, TUM School of Medicine and Health, TUM University Hospital Rechts der Isar, Technical University of Munich, Munich, Germany. 6These authors contributed equally: Farieda Gaber, Maqsood Shaik. e-mail: altuna.akalin@mdc-berlin.de npj Digital Medicine | (2025)8:263 1	n/a (workflow evaluation; explanations not primary, but may include personalized insights)		Benchmark study; curated dataset; compares models/workflows on clinical tasks.							LLMs can provide personalized insights; evaluates impact of RAG and model versions for triage/referral/diagnosis.	LLM workflows show promise for clinical decision support but require careful benchmarking and validation.	Retrospective dataset; deployment/generalization unknown; explainability evaluation limited.	papers_openalex_llm_xai/unmapped_extras/10.1038_s41746-025-01684-1.pdf	Relevant as evaluation of LLM workflows; not core explainability methods.
doi:10.63332/joph.v5i4.1089	10.63332/joph.v5i4.1089		2025	Ethical Alignment in Large Language Models: Interpreting Moral Reasoning in Transformer-Based AI Systems	[llm_xai] Journal of Posthumanism	ethical alignment; interpretability of moral reasoning in LLMs		Discuss interpretability of moral reasoning and value alignment in transformer LLMs; reviews methods and risks; provides recommendations.	LLMs (general; discussion)	n/a (conceptual/review)	The adoption of Large language models (LLMs) based on transformer networks in contexts of high stakes has much accentuated ethical debates devolving over the alignment of machine values and moral reasoning with those same of the human. This study looks at interpretability of moral-based reasoning in LLMs, in terms of the ability to learn, apply, and justify ethical norms or reasoning. The article also discusses how transformer architectures learn and fix values in the face of normative judgments under a number of interdisciplinary frameworks well at home within psychology, philosophy, and socio-technical perspectives. The article critiques the relevant methodologies: value alignment frameworks, simulation environments, transparency-enhancing tools that, while they can be helpful, can be harmful if not operated carefully, all in an attempt to gauge ethical robustness. It scrutinizes attribute bias detection, fairness interventions, and the limitations of the current moral reasoning in AI-generated outputs. Case studies of healthcare, mental health, and the justice system were provided to show the ethical implications of misalignment. Finally, the paper gives recommendations on how to move towards the development of moral AI systems through inclusive design, explainable decision pathways, and global ethical governance.	value alignment frameworks; transparency tools; bias/fairness interventions; explainable decision pathways (high-level)		Narrative review with domain case studies (healthcare/justice/mental health).							Highlights risks of opaque moral reasoning, bias, and misuse; stresses need for governance and explainable pathways.	Advocates inclusive design and global governance; warns transparency tools can also be misused.	Secondary literature; citation quality uncertain; conceptual.	papers_openalex_llm_xai/unmapped_extras/10.63332_joph.v5i4.1089.pdf	Keep as context/ethics; not technical explainability method paper.
doi:10.52783/jisem.v10i33s.5566	10.52783/jisem.v10i33s.5566		2025	Enhancing Explainability in AI Models: A Quantitative Comparison of XAI Techniques for Large Language Models and Healthcare Applications	[llm_xai] Journal of Information Systems Engineering & Management	XAI technique comparison for LLMs in healthcare (SHAP/LIME/attention)		Quantitative comparison of SHAP, LIME, and attention-based mechanisms for explainability in healthcare applications.	LLMs in healthcare (not clearly specified); XAI methods applied/compared	n/a (likely conceptual/benchmark)	Received: 30 Dec 2024 The growing need for Artificial intelligence (AI) in healthcare requires both accurate and explainable models. Elevating Transparency, Trust, and Decision-Making with Explainable AI Revised: 12 Feb 2025 in Medical Applications of LLMs. In this study, we conduct a comparative quantitative Accepted: 26 Feb 2025 evaluation of the most important XAI methods (SHAP, LIME, and Attention-based mechanisms) for LLMs in healthcare. We evaluate these techniques in terms of interpretability, computational efficiency, fidelity, and clinical relevance. The findings underline trade-offs that matter, with SHAP offering very fine-tuned interpretation of model decisions at high computational costs, LIME giving additional insights by momentarily opening up the black-box model at moderate computational costs, and Attention-based methods providing clear alignment with predictions but no reasoning behind those predictions. This research contributes to the ethical and reliable deployment of AI in healthcare by revealing effective XAI strategies for improving clinical decisions and fostering trust among medical professionals and patients.	SHAP; LIME; attention-based explanations		Claims quantitative evaluation along interpretability, efficiency, fidelity, and clinical relevance.							Claims trade-offs: SHAP high cost, LIME moderate, attention aligns with predictions but not reasoning.	Suggests selecting XAI strategies to improve clinical trust and decision-making.	Secondary/low-detail; may not include reproducible experiments; venue quality concerns.	papers_openalex_llm_xai/unmapped_extras/10.52783_jisem.v10i33s.5566.pdf	Likely weak/secondary; flag for later rigor check.
doi:10.55248/gengpi.6.0525.1615	10.55248/gengpi.6.0525.1615		2025	Developing Interpretable Large Language Models for High-Stakes Decision-Making in Healthcare: Insights from an XAI Review Perspective	[llm_xai] International Journal of Research Publication and Reviews	interpretable LLMs in healthcare; XAI review perspective		Perspective on interpretability strategies for healthcare LLMs: post-hoc SHAP/LIME, neurosymbolic models, prompting (CoT) and governance.	LLMs (GPT-4/BERT/LLaMA etc.) (discussion)	clinical text/workflows (discussion)	Large Language Models (LLMs) are revolutionizing healthcare by enhancing clinical documentation, diagnostics, and decision-making. However, their opaque ”black-box” nature poses significant challenges in high-stakes medical contexts, where trust, accountability, and interpretability are paramount. This paper investigates strategies to enhance the interpretability of LLMs in healthcare, drawing on insights from an Explainable AI (XAI) review paper [1]. We explore post-hoc explanation methods (e.g., SHAP, LIME), hybrid human-AI frameworks, and inherently transparent architectures like neurosymbolic models. Key challenges—such as bias, hallucinations, regulatory compli- ance, and computational complexity—are analyzed. We propose that structured prompting techniques, such as Chain-of-Thought (CoT) augmented with diagnostic reasoning [2], can align LLM outputs with clinical reasoning processes, improving transparency without sacrificing accuracy. By integrating findings from XAI literature, this study evaluates how interpretable LLMs can bridge the trust gap between AI systems and clinicians, ensuring ethical, fair, and practical deployment in real-world healthcare settings. Future research directions focus on balancing predictive performance with explainability and meeting regulatory stan- dards. Index Terms—Large Language Models, Healthcare AI, Ex- plainable AI, Medical Decision-Making, Interpretability	post-hoc explanations (SHAP/LIME); neurosymbolic; structured prompting (CoT); hybrid frameworks		Perspective drawing from prior XAI review; includes anecdotal examples and policy discussion.							Frames hallucinations, bias, and regulation as key risks; argues structured prompting and hybrids improve transparency.	Calls for balancing predictive performance with explainability and meeting regulatory standards.	Secondary perspective; includes many broad claims; may cite non-verified examples.	papers_openalex_llm_xai/10.55248_gengpi.6.0525.1615.pdf	Secondary/context; likely not core technical contribution.
doi:10.1186/s13244-025-02121-3	10.1186/s13244-025-02121-3		2025	Comparative Evaluation of Large Language Models in Explaining Radiology Reports: Expert Assessment of Readability, Understandability, and Communication Features	[llm_xai] Insights into Imaging	LLM explanations for radiology reports; readability/understandability evaluation		Compare ChatGPT (GPT-3.5), Gemini, Copilot on explaining radiology reports; expert-assessed correctness, PEMAT, readability, and communication features.	ChatGPT (GPT-3.5), Gemini, Copilot	radiology report text	Objectives To compare understandability, readability, and communication characteristics of radiology report explanations generated by three freely accessible large language models—ChatGPT, Gemini, and Copilot—based on a standardized prompt, as assessed by expert reviewers. Materials and methods In this retrospective single-center study, 100 anonymized radiology reports were randomly selected from ﬁve subspecialties. Each report was submitted to ChatGPT (GPT-3.5), Gemini, and Copilot between May 23 and May 30, 2025, using the prompt, “Can you explain my radiology report?”. Responses were evaluated for medical correctness on a 3-point scale (0–2), understandability using the patient education materials assessment tool for understandability (PEMAT-U), and readability using Flesch Reading Ease (FRE), Automated Readability Index (ARI), and Gunning Fog Index (GFI). Communicative features—including uncertainty language, patient guidance, and clinical 1234567890():,; 1234567890():,; 1234567890():,; 1234567890():,; suggestions—were also assessed. Anxiety-inducing potential was rated on a 3-point Likert scale. Results All models demonstrated high medical correctness (mean: 1.97 ± 0.17/2). ChatGPT produced the most readable (FRE: 60.33 ± 3.65; ARI: 9.66 ± 1.01; GFI: 9.1 ± 1.04) and understandable (PEMAT-U: 89.58 ± 3.90%) responses (p < 0.01). Copilot included the most uncertainty language (1.62 ± 0.62) and clinical suggestions (1.69 ± 0.60), while Gemini provided the strongest patient guidance (1.62 ± 0.58) (all p < 0.01). Only Copilot showed subspecialty-related variation in readability (GFI; p = 0.048). Anxiety potential was low across all models (mean: 0.07 ± 0.33). Conclusion ChatGPT offered superior readability and understandability. Copilot delivered more clinical detail with cautious language, while Gemini emphasized patient-centered guidance. These differences support context-speciﬁc use of language models in radiology communication. Critical relevance statement This study shows that freely accessible large language models produce radiology report explanations with varying levels of readability, understandability, and communication quality. Expert-based ﬁndings may help inform future strategies to optimize patient-facing applications of AI in radiological communication. *Correspondence: Ahmet Bozer drahmetbozer@gmail.com 1 Department of Radiology, Ministry of Health Izmir City Hospital, Izmir, Turkey 2 Department of Radiology, Izmir Faculty of Medicine, University of Health Sciences, Izmir, Turkey © The Author(s) 2025. Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.	LLM-generated natural-language explanations of reports; evaluation of uncertainty language/guidance/suggestions		Retrospective single-center; 100 reports; expert review; multiple readability and communication metrics.							Finds significant differences across models in understandability/readability and communicative features; assesses anxiety-inducing potential.	AI chatbots may aid patient communication but require context-specific use and correctness safeguards.	Single-center; fixed prompt; only three models and timeframe; no patient study.	papers_openalex_llm_xai/unmapped_extras/10.1186_s13244-025-02121-3.pdf	In-scope (evaluation of LLM explanations quality/communication in clinical setting).
doi:10.1609/aaai.v39i11.33329	10.1609/aaai.v39i11.33329		2025	Coherency Improved Explainable Recommendation via Large Language Model	[llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	explainable recommendation; coherence between predictions and explanations		Improve coherence between rating prediction and generated explanations using LLM to generate rating then explanation conditioned on rating vector.	LLM fine-tuned with LoRA + sentiment model for automatic coherence evaluation	user-item reviews/ratings text	Predict the 's rating of and explain it. Explainable recommender systems are designed to elucidate the explanation behind each recommendation, enabling users I think rating is : 4 to comprehend the underlying logic. Previous works perform Beacuse “but the film is waste of time .” rating prediction and explanation generation in a multi-task NRT manner. However, these works suffer from incoherence be- tween predicted ratings and explanations. To address the is- I think rating is : 5 sue, we propose a novel framework that employs a large lan- Beacuse “the plot was ok but it was ok but it was ok .” guage model (LLM) to generate a rating, transforms it into PETER a rating vector, and finally generates an explanation based on the rating vector and user-item information. Moreover, I think rating is : 5 we propose utilizing publicly available LLMs and pre-trained Beacuse “the film is good but too dated .” sentiment analysis models to automatically evaluate the co- CER herence without human annotations. Extensive experimental results on three datasets of explainable recommendation show Green means Red means that the proposed framework is effective, outperforming state- of-the-art baselines with improvements of 7.3% in explain- ability and 4.4% in text quality. Figure 1: Explanations generated by NRT, PETER, and CER for an example from Amazon Movies. Code — https://github.com/karrich/CIER tion layer but having individual output layers. Despite im-	LLM-generated natural-language explanations conditioned on predicted rating; automatic coherence evaluation		Experiments on three datasets; compares against prior explainable recommender baselines; uses automatic evaluation.							Proposed framework improves coherence and outperforms baselines in explanation quality (claimed).	LLMs can improve coherence and generation quality in explainable recommender systems.	Automatic coherence eval may be biased; limited human evaluation.	papers_openalex_llm_xai/unmapped_extras/10.1609_aaai.v39i11.33329.pdf	In-scope for LLM-as-explainer in recommender systems.
doi:10.1038/s41467-025-67084-x	10.1038/s41467-025-67084-x		2025	CASSIA: a multi-agent large language model for automated and interpretable cell annotation	[llm_xai] Nature Communications	LLMs for interpretable bioinformatics; multi-agent LLM for cell type annotation		Automated and interpretable cell annotation for scRNA-seq via multi-agent LLM system; reduce manual input and improve interpretability.	CASSIA multi-agent LLM	single-cell RNA-seq gene expression matrices + marker gene knowledge (likely)	10 Cell type annotation is an essential step in single-cell RNA-sequencing analysis, and numerous annotation 11 methods are available. Most require a combination of computational and domain-specific expertise, and they S 12 frequently yield inconsistent results that can be challenging to interpret. Large language models have the 13 potential to expand accessibility while reducing manual input and improving accuracy, but existing approaches ES 14 suffer from hyperconfidence, hallucinations, and lack of reasoning. To address these limitations, we developed 15 CASSIA for automated, accurate, and interpretable cell annotation of single-cell RNA-sequencing data. As 16 PR demonstrated in analyses of 970 cell types, CASSIA improves annotation accuracy in benchmark datasets as 17 well as complex and rare cell populations, and also provides users with reasoning and quality assessment to 18 ensure interpretability, guard against hallucinations, and calibrate confidence. IN	multi-agent reasoning/interpretation; interpretable outputs for annotation decisions (details TBD)		Compares against existing cell annotation methods; focuses on consistency and interpretability (full details later in paper).							Aims to improve accessibility and interpretation of inconsistent annotations via LLM agents.	LLMs may help standardize and interpret cell annotation, reducing required expertise.	"PDF is marked ""Article in Press / unedited""; may be pre-publication version; verify final version later."	papers_openalex_llm_xai/unmapped_extras/10.1038_s41467-025-67084-x.pdf	In-scope as applied interpretability (LLM agents producing interpretable bioinformatics annotations).
doi:10.1609/aaai.v39i14.33637	10.1609/aaai.v39i14.33637		2025	Argumentative Large Language Models for Explainable and Contestable Claim Verification	[llm_xai] Proceedings of the AAAI Conference on Artificial Intelligence	argumentation + LLMs; explainable and contestable decision-making; claim verification		Augment LLMs with formal argumentation frameworks to support explainable/contestable claim verification decisions.	ArgLLMs (LLM + argumentative reasoning); constructs argumentation frameworks for formal reasoning	text claims + evidence	The profusion of knowledge encoded in large language mod- els (LLMs) and their ability to apply this knowledge zero- shot in a range of settings makes them promising candidates for use in decision-making. However, they are currently lim- ited by their inability to provide outputs which can be faith- fully explained and effectively contested to correct mistakes. In this paper, we attempt to reconcile these strengths and weaknesses by introducing argumentative LLMs (ArgLLMs), a method for augmenting LLMs with argumentative reason- ing. Concretely, ArgLLMs construct argumentation frame- works, which then serve as the basis for formal reasoning in support of decision-making. The interpretable nature of these argumentation frameworks and formal reasoning means that any decision made by ArgLLMs may be explained and con- tested. We evaluate ArgLLMs’ performance experimentally in comparison with state-of-the-art techniques, in the context of the decision-making task of claim verification. We also de- fine novel properties to characterise contestability and assess ArgLLMs formally in terms of these properties. Code and Datasets — https://github.com/CLArg-group/argumentative-llms Extended version — https://arxiv.org/abs/2405.02079	formal argumentation frameworks; contestable explanations; properties for contestability		Experimental comparison vs prompting and chain-of-thought baselines on claim verification datasets; formal assessment of contestability properties.							Argumentation-augmented LLMs enable explanations that can be contested; competitive performance on claim verification (claimed).	Symbolic argumentation can improve faithfulness and contestability of LLM decisions.	Depends on extraction/construction of argumentation frameworks; overhead; scope limited to claim verification.	papers_openalex_llm_xai/unmapped_extras/10.1609_aaai.v39i14.33637.pdf	Core in-scope (symbolic+LLM for explainable/contestable reasoning).
doi:10.3389/frai.2025.1609097	10.3389/frai.2025.1609097		2025	An overview of model uncertainty and variability in LLM-based sentiment analysis: challenges, mitigation strategies, and the role of explainability	[llm_xai] Frontiers in Artificial Intelligence	uncertainty/variability in LLM sentiment analysis; explainability role (review)		Review challenges and mitigation strategies for model uncertainty and variability in LLM-based sentiment analysis; discuss explainability.	LLMs for sentiment analysis (prompt-based)	text sentiment tasks	Large Language Models (LLMs) have signiﬁcantly advanced sentiment analysis, Herrera F and Montes R (2025) An overview of yet their inherent uncertainty and variability pose critical challenges to achieving model uncertainty and variability in LLM-based sentiment analysis: challenges, reliable and consistent outcomes. This paper systematically explores the Model mitigation strategies, and the role of Variability Problem (MVP) in LLM-based sentiment analysis, characterized by explainability. Front. Artif. Intell. 8:1609097. inconsistent sentiment classiﬁcation, polarization, and uncertainty arising from doi: 10.3389/frai.2025.1609097 stochastic inference mechanisms, prompt sensitivity, and biases in training data. COPYRIGHT © 2025 Herrera-Poyatos, Peláez-González, We present illustrative examples and two case studies to highlight its impact and Zuheros, Herrera-Poyatos, Tejedor, Herrera analyze the core causes of MVP, discussing a dozen fundamental reasons for and Montes. This is an open-access article model variability. We pay especial atenttion to explainabily, with an analysis of distributed under the terms of the Creative Commons Attribution License (CC BY). The its importance in LLMs from the MVP perspective. In addition, we investigate use, distribution or reproduction in other key challenges and mitigation strategies, paying particular attention to the role forums is permitted, provided the original of temperature as a driver of output randomness and highlighting the crucial author(s) and the copyright owner(s) are credited and that the original publication in role of explainability in improving transparency and user trust. By providing a this journal is cited, in accordance with structured perspective on stability, reproducibility, and trustworthiness, this study accepted academic practice. No use, helps develop more reliable, explainable, and robust sentiment analysis models, distribution or reproduction is permitted which does not comply with these terms. facilitating their deployment in high-risk domains such as ﬁnance, healthcare and policy making, among others.	explainability as tool for reliability/reproducibility; uncertainty estimation strategies (surveyed)		Review article; synthesizes literature and proposes mitigation strategies.							Uncertainty and variability undermine robustness and trustworthiness; explainability helps develop more reliable sentiment systems.	Calls for uncertainty-aware, explainable sentiment analysis in high-risk domains.	Secondary review; scope is sentiment analysis (not general LLM interpretability).	papers_openalex_llm_xai/unmapped_extras/10.3389_frai.2025.1609097.pdf	In-scope as secondary survey on uncertainty + explainability.
doi:10.1186/s13321-025-00979-5	10.1186/s13321-025-00979-5		2025	An interpretable deep geometric learning model to predict the effects of mutations on protein–protein interactions using large-scale protein language model	[llm_xai] Journal of Cheminformatics	protein language models; interpretable deep learning for mutation effects on PPIs		Predict binding affinity changes from mutations in protein–protein complexes using transformer-based GNN + protein language model features.	graph transformer + large-scale protein language model features	3D protein complex structures + sequence embeddings	Protein–protein interactions (PPIs) are central to the mechanisms of signaling pathways and immune responses, which can help us understand disease etiology. Therefore, there is a significant need for efficient and rapid automated approaches to predict changes in PPIs. In recent years, there has been a significant increase in applying deep learn- ing techniques to predict changes in binding affinity between the original protein complex and its mutant variants. Particularly, the adoption of graph neural networks (GNNs) has gained prominence for their ability to learn representa- tions of protein–protein complexes. However, the conventional GNNs have mainly concentrated on capturing local features, often disregarding the interactions among distant elements that hold potential important information. In this study, we have developed a transformer-based graph neural network to extract features of the mutant segment from the three-dimensional structure of protein–protein complexes. By embracing both local and global features, the approach ensures a more comprehensive understanding of the intricate relationships, thus promising more accu- rate predictions of binding affinity changes. To enhance the representation capability of protein features, we incor- porate a large-scale pre-trained protein language model into our approach and employ the global protein feature it provides. The proposed model is shown to be able to predict the mutation changes in binding affinity with a root mean square error of 1.10 and a Pearson correlation coefficient of near 0.71, as demonstrated by performance on test and validation cases. Our experiments on all five datasets, including both single mutant and multiple mutant cases, demonstrate that our model outperforms four state-of-the-art baseline methods, and the efficacy was sub- jected to comprehensive experimental evaluation. Our study introduces a transformer-based graph neural network approach to accurately predict changes in protein–protein interactions (PPIs). By integrating local and global features and leveraging pretrained protein language models, our model outperforms state-of-the-art methods across diverse datasets. The results of this study can provide new views for studying immune responses and disease etiology related to protein mutations. Furthermore, this approach may contribute to other biological or biochemical studies related to PPIs. Scientific contribution Our scientific contribution lies in the development of a novel transformer-based graph neural network tailored to predict changes in protein–protein interactions (PPIs) with excellent accuracy. By seamlessly inte- grating both local and global features extracted from the three-dimensional structure of protein–protein complexes, *Correspondence: Pingzhao Hu phu49@uwo.ca Full list of author information is available at the end of the article © The Author(s) 2025. Open Access This article is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License, which permits any non-commercial use, sharing, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if you modified the licensed material. You do not have permission under this licence to share adapted material derived from this article or parts of it. The images or other third party material in this article are included in the article’s Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://​creat​iveco​mmons.​org/​licen​ses/​by-​nc-​nd/4.​0/.	"""interpretable"" geometric model (architecture-level); feature fusion (no explicit explanation method described in abstract)"		Benchmark across five datasets (single/multiple mutants); reports RMSE and Pearson correlation.							Combining local+global features and protein LM representations improves prediction performance.	Protein language models can enhance representation quality for mutation effect prediction.	Interpretability likely limited (architecture claim); explanations not explicit; domain-specific.	papers_openalex_llm_xai/unmapped_extras/10.1186_s13321-025-00979-5.pdf	Probably out-of-scope for LLM explainability (protein LM used as feature encoder; not LLM explanation).
